pattern,output
1 1 1 1,"[0.7738859 , 0.13822594, 0.05158902, 0.03629913]"
2 2 2 2,"[0.05343265, 0.89433384, 0.02860689, 0.02362661]"
3 3 3 3,"[0.01993013, 0.04628453, 0.9098775 , 0.02390785]"
4 4 4 4,"[0.02972598, 0.06936269, 0.04706167, 0.8538497 ]"
2 2 2 1,"[0.21362948, 0.49217847, 0.19790666, 0.09628537]"
4 2 2 2,"[0.10875907, 0.79311776, 0.07030523, 0.02781788]"
2 2 2 4,"[0.18580258, 0.5043454 , 0.15917283, 0.15067917]"
1 2 2 2,"[0.10384978, 0.7684579 , 0.06822663, 0.05946561]"
3 2 2 2,"[0.10239146, 0.7928775 , 0.05798802, 0.04674308]"
2 3 3 3,"[0.07243414, 0.09747683, 0.7832641 , 0.04682489]"
2 1 1 1,"[0.7017609 , 0.16911042, 0.08413578, 0.04499293]"
1 2 1 2,"[0.4891931 , 0.24236757, 0.1815231 , 0.08691623]"
2 1 2 1,"[0.13418318, 0.6610665 , 0.1163195 , 0.08843081]"
2 3 2 3,"[0.1316799 , 0.5886193 , 0.17782079, 0.10187998]"
3 2 3 2,"[0.13319583, 0.09294882, 0.69911146, 0.07474383]"
4 3 4 3,"[0.1253693 , 0.13223864, 0.23608248, 0.50630957]"
3 4 3 4,"[0.14302087, 0.11019741, 0.68469924, 0.06208247]"
1 2 3 4,"[0.47828162, 0.31707373, 0.15868665, 0.04595796]"
4 3 2 1,"[0.11356475, 0.33258513, 0.23881455, 0.31503558]"
2 3 4 1,"[0.13415293, 0.6572971 , 0.16081461, 0.04773536]"
1 4 3 2,"[0.38600722, 0.2817805 , 0.2290453 , 0.10316697]"
3 4 1 2,"[0.14084752, 0.25648886, 0.5062354 , 0.09642819]"
2 1 4 3,"[0.10799438, 0.5158772 , 0.311887  , 0.06424141]"
4 1 2 3,"[0.20230141, 0.24724816, 0.20706016, 0.3433902 ]"
3 2 1 4,"[0.07178062, 0.306733  , 0.54292035, 0.07856605]"
